conference,year,session name,paper title,DOI,author list,abstract
IUI,2026,Natural and Intent Aware Interfaces,VoiceAlign: A Shimming Layer for Enhancing the Usability of Legacy Voice User Interface Systems,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=VoiceAlign%3A+A+Shimming+Layer+for+Enhancing+the+Usability+of+Legacy+Voice+User+Interface+Systems,"Md Ehtesham-Ul-Haque, Syed Masum Billah","Voice user interfaces (VUIs) are rapidly transitioning from accessibility features to mainstream interaction modalities. Yet most operating systems' built-in voice commands remain underutilized despite possessing robust technical capabilities. Through our analysis of four commercial VUI systems and a formative study with 16 participants, we found that fixed command formats require exact phrasing, restrictive timeout mechanisms discard input during planning pauses, and insufficient feedback hampers multi-step interactions. To address these challenges, we developed VoiceAlign, an adaptive shimming layer that mediates between users and legacy VUI systems. VoiceAlign intercepts natural voice commands, transforms them to match the required syntax using a large language model, and transmits these adapted commands through a virtual audio channel that remains transparent to the underlying system. In our evaluation with 12 participants, VoiceAlign reduced command failures by half, required 25% fewer commands per task, and significantly lowered cognitive and temporal demands when paired with an existing legacy VUI system. Furthermore, we created a synthetic dataset informed by our studies and fine-tuned a small language model that achieves over 90% accuracy with 200 ms response time when served locally, eliminating dependence on third-party APIs while enabling real-time interaction on edge devices. This work demonstrates how modern AI techniques can unlock the underutilized potential of legacy VUI systems without requiring system modifications, offering a practical solution without replacing existing infrastructure."
IUI,2026,Multi-Agent & Collaborative AI Interfaces,ChoiceMates: Supporting Unfamiliar Online Decision-Making with Multi-Agent Conversational Interactions,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=ChoiceMates%3A+Supporting+Unfamiliar+Online+Decision-Making+with+Multi-Agent+Conversational+Interactions,"Jeongeon Park, Bryan Min, Kihoon Son, Jean Y Song, Xiaojuan Ma, Juho Kim","From purchasing a gift to deciding on a hobby, unfamiliar decisions---decisions without domain knowledge and experience---are frequent and significant. The complexity and uncertainty of such decisions demand unique approaches to information seeking, understanding, and decision-making. Our formative study highlights that in the current workflow, users want to start by discovering broad and relevant domain information evenly and simultaneously, quickly address emerging inquiries, and gain personalized standards to assess information found. We present ChoiceMates, an interactive multi-agent system designed to address these needs by enabling users to engage with a dynamic set of LLM agents each presenting a unique experience in the domain. Unlike existing multi-agent systems that automate tasks with agents, the user orchestrates agents to assist their decision-making process in each turn, through chatting with all agents, with a tagged subset of agents, or calling in new agents into the space. By comparing ChoiceMates with a web search condition and a multi-agent framework (n=12), we show that ChoiceMates enables a more confident, satisfactory decision-making with better situation understanding than web search, and higher decision quality than a commercial multi-agent framework. We further illustrate how participants utilized ChoiceMates to make unfamiliar decisions, providing insights into designing a more controllable and collaborative multi-agent system."
IUI,2026,From Papers to Practice: Lessons for Human-AI Researchers and Practitioners,"""Over-the-Hood"" AI Inclusivity Bugs and How 3 AI Product Teams Found and Fixed Them",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=%22Over-the-Hood%22+AI+Inclusivity+Bugs+and+How+3+AI+Product+Teams+Found+and+Fixed+Them,"Andrew A. Anderson, Fatima A. Moussaoui, Jimena Noa-Guevara, Md Montaser Hamid, Margaret Burnett","While much research has shown the presence of AI's ""under-the-hood'"" biases (e.g., algorithmic, training data, etc.), what about ""over-the-hood"" inclusivity biases: barriers in user-facing AI products that disproportionately exclude users with certain problem-solving approaches? Recent research has begun to report the existence of such biases—but what do they look like, how prevalent are they, and how can developers find and fix them? To find out, we conducted a field study with 3 AI product teams, to investigate what kinds of AI inclusivity bugs exist uniquely in user-facing AI products, and whether/how AI product teams might harness an existing (non-AI-oriented) inclusive design method to find and fix them. The teams' work revealed 83 instances of 6 AI inclusivity bug types unique to user-facing AI products, their fixes covering 47 bug instances, and a new GenderMag inclusive design method variant, GenderMag-for-AI, that is especially effective at detecting AI inclusivity bugs when the AI's output is not necessarily believed."
IUI,2026,Explainable AI (XAI) Methods,"StepMIND: A Visual Framework for Stepwise, Multimodal, and Bidirectional Explanations of AI-Generated Data Analysis Pipeline",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=StepMIND%3A+A+Visual+Framework+for+Stepwise%2C+Multimodal%2C+and+Bidirectional+Explanations+of+AI-Generated+Data+Analysis+Pipeline,"Yang Wu, Yao Wan, Mennatallah El-Assady, April Yi Wang","Artificial intelligence (AI) enables users to generate data visualizations from natural language descriptions, lowering the barrier to data exploration. However, AI-generated visualizations often present only the final output, lacking transparency and limiting users' ability to verify, interpret, or refine the results. To address this, we introduce \stepmindnospace, a generalizable visual framework that enhances explainability and interactivity in AI-generated data analysis pipelines. \stepmind integrates four dimensions: (1) Stepwise Refinement, allowing users to engage in the AI decision process; (2) Multimodal Explanations, combining natural language, structured notation, direct manipulation, and content visualization for accessible interpretation; (3) Bidirectional Editing, enabling seamless updates across modalities; and (4) Familiar Interaction Models, such as code editor and spreadsheet-based manipulations, to support both technical and non-technical users. To demonstrate its utility, we apply \stepmind in \stagenospace, a case study system for AI-assisted data visualization. A within-subject user study (N=20) shows that \stage significantly improves user confidence and trust, reduces cognitive load, and facilitates both exploratory and corrective refinements. Our findings further suggest that \stepmind can generalize to broader AI-assisted workflows, offering a visible and interactive approach to explainable AI."
IUI,2026,Explainable AI (XAI) Methods,Designing Effective Training Dataset Explanations: The Impact of Information Depth and Progressive Disclosure,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Designing+Effective+Training+Dataset+Explanations%3A+The+Impact+of+Information+Depth+and+Progressive+Disclosure,"Ariful Islam Anik, Andrea Bunt","Transparency in AI is crucial for fostering user trust and acceptance, yet achieving it through explanations presents significant design challenges, particularly regarding how much detail to provide. For example, in-depth explanations can convey accurate and comprehensive information, but they also risk overwhelming users. This paper considers this important design tradeoff in the context of training dataset explanations, which describe the data used to train AI systems and differ from most model-centric explanations in terms of what and how much information they communicate. Specifically, we investigate how information depth in training dataset explanations and the use of Progressive Disclosure impact users’ understanding of an AI system (assessed via their critiques of the system), their system assessments, and their cognitive load. Findings from a study with 32 participants show advantages to providing users with comprehensive information on training datasets. Detailed explanations not only enhanced perceived trust, fairness, and understanding, but were also preferred by participants despite the increased cognitive load. While Progressive Disclosure did not effectively mitigate cognitive load, it improved users’ perception of learning. These findings suggest that effective transparency does not come from minimizing detail, but from embracing it, as participants consistently valued clarity and completeness over brevity, even at the cost of higher cognitive load."
IUI,2026,Intelligent Interfaces for Health & Wellbeing,SAFELIFT: Safety-Aware Feedback for Ergonomic Lifting & Injury-Free Tasks,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=SAFELIFT%3A+Safety-Aware+Feedback+for+Ergonomic+Lifting+%26+Injury-Free+Tasks,"Gaetano Dibenedetto, Pasquale Lops, Piero Lovreglio, Marco Polignano, Roberto Ravallese, Helma Torkamaan","Work-related musculoskeletal disorders, often caused by unsafe lifting techniques, remain a persistent threat to worker health and safety. We present SAFELIFT, a safety-aware recommender system that automatically detects risky lifting behaviors and generates corrective feedback. Using monocular video input, SAFELIFT extracts ergonomic parameters to compute the Lifting Index (LI) from the Revised NIOSH Lifting Equation. When the LI exceeds a safety threshold, the system produces both graphical and textual recommendations to promote safer postural strategies. Unlike prior approaches, SAFELIFT requires no wearable sensors or multi-camera setups, enabling scalable and low-cost deployment in workplace environments. To assess its effectiveness, we conducted a two-phase evaluation: (1) domain experts (ergonomists, occupational safety professionals, medical staff) assessed the accuracy and relevance of the recommendations, and (2) lay users evaluated different presentation formats, judging their clarity, helpfulness, and trustworthiness. By integrating ergonomics with recommender system design, SAFELIFT contributes to a new class of context-aware, safety-oriented recommendation technologies for occupational health."
IUI,2026,Making Together: Collaborative AI in Creative Work (2/2),CoLyricist: Enhancing Lyric Writing with AI through Workflow-Aligned Support,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=CoLyricist%3A+Enhancing+Lyric+Writing+with+AI+through+Workflow-Aligned+Support,"Masahiro Yoshida, Bingxuan Li, Songyan Zhao, Qinyi Zhou, Shiwei Hu, Xiang 'Anthony' Chen, Nanyun Peng","We propose CoLyricist, an AI-assisted lyric writing tool designed to support the typical workflows of experienced lyricists and enhance their creative efficiency. While lyricists have unique processes, many follow common stages. Tools that fail to accommodate these stages challenge integration into creative practices. Existing research and tools lack sufficient understanding of these songwriting stages and their associated challenges, resulting in ineffective designs. Through a formative study involving semi-structured interviews with 10 experienced lyricists, we identified four key stages: Theme Setting, Ideation, Drafting Lyrics, and Melody Fitting. CoLyricist addresses these needs by incorporating tailored AI-driven support for each stage, optimizing the lyric writing process to be more seamless and efficient. To examine whether this workflow-aligned design also benefits those without prior experience, we conducted a user study with 16 participants, including both experienced and novice lyricists. Results showed that CoLyricist enhances the songwriting experience across skill levels. Novice users especially appreciated the Melody-Fitting feature, while experienced users valued the Ideation support."
IUI,2026,AI-Augmented Work: Research and Education,Smarter Together: Enhancing Human-AI Collaborative Grading With Teacher-Cognition Multi-Agent LLM Framework,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Smarter+Together%3A+Enhancing+Human-AI+Collaborative+Grading+With+Teacher-Cognition+Multi-Agent+LLM+Framework,"Sanskriti Uma, Surjya Ghosh, Dio Dzaky Achmad Mustaqim","Automated grading in rubric-based, short-answer open-ended questions often mishandles partial credit, calibration, and actionable transparency, ultimately requiring teachers to reevaluate. This challenge is amplified in resource-constrained settings (e.g., with limited teachers and a large student population), resulting in weaker learning outcomes. To address this challenge, we present the Teacher-Cognition Multi-Agent Grading framework (TC-MAG), which mirrors teachers’ micro-steps via anchored LLM agents for rubric creation, guideline checks, blind double marking, arbitration, and cross-checking to calibrate confidence. Each step produces a concise explanation for targeted review. We first conducted a motivational study to inform the design of TC-MAG. Next, we validated the effectiveness of the TC-MAG framework on a dataset of 2,000 Singapore primary school students’ responses across 1–4-mark mathematics questions with teacher-adjudicated gold labels. TC-MAG attained deployment-level reliability (κ=0.968 on 1-mark; quadratic-weighted κ=0.936 on 2–4 marks) by outperforming human teachers (Δκ=+0.063, p<.001) and state-of-the-art LLM baselines (min Δκ=+0.012, p<.001). In a mixed-methods teacher study (N=14; 12.1 years’ experience), explanation format and TC-MAG’s confidence score influenced whether teachers delegated grading to TC-MAG. Staged explanations yielded greater diagnosticity (LR+ 11.5 vs. 4.60 for summarized explanations), informing a progressive disclosure strategy of explanations based on confidence. Overall, TC-MAG offers replicable multi-agent framework and triage methods for classroom deployment while preserving teacher oversight."
IUI,2026,"Persuasion, Trust & Appropriate Reliance",User Compliance and Awareness towards Persuasive XAI: Investigating the Rhetorical Layer of LLM-generated Explanations,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=User+Compliance+and+Awareness+towards+Persuasive+XAI%3A+Investigating+the+Rhetorical+Layer+of+LLM-generated+Explanations,"Dacia Braca, Ambika Shahu, Dinara Talypova, Philipp Wintersberger, Nina Hubig","In high-stakes decision-making, the acceptance of AI recommendations depends not only on system accuracy but also on how decisions are explained. While prior work on explainable AI has largely focused on transparency and interpretability, less attention has been paid to the persuasive dimension of explanations. To address this gap, we investigate how rhetorical strategies drawn from Cialdini's persuasion theory, when embedded in natural language explanations generated by large language models (LLMs), influence user compliance and their ability to recognize persuasive intent. We conducted a controlled survey study with 129 participants in two application domains---finance and healthcare---where participants evaluated both a baseline and a persuasive explanation for an AI-generated decision across favorable and unfavorable outcomes. In a complementary task, participants rated ten short explanations on perceived persuasiveness and factual strength, enabling us to measure awareness of persuasive intent. Our results show that persuasive explanations significantly increased compliance in the healthcare scenario ($p < .001$), whereas baseline explanations were more effective in finance ($p<.001$), regardless of whether the AI decision was positive or negative. A notable proportion of participants rated explanations containing at least one of Cialdini's persuasion techniques as highly persuasive, yet simultaneously judged them to be factually weaker. Importantly, we found no statistically significant evidence that participants' ability to recognize persuasive intent influenced compliance. These findings highlight the dual role of persuasive explanations: they can enhance foster compliance in sensitive contexts such as healthcare but risk undermining trust in domains like finance. For HCI and IUI, our study underscores that explanations are not neutral vessels of information: their rhetorical form substantially shapes how users perceive and engage with AI-assisted decision-making. Designers of explainable AI systems should therefore carefully balance transparency and persuasion when developing interfaces for high-stakes applications."
IUI,2026,Learning through Interaction (1/2),Personalized Recommendations in Mixed Reality Enhance Explanation Satisfaction and Hedonic User Experience in Board Game Learning,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Personalized+Recommendations+in+Mixed+Reality+Enhance+Explanation+Satisfaction+and+Hedonic+User+Experience+in+Board+Game+Learning,"Sandra Dojcinovic, Jannis Strecker-Bischoff, Simon Mayer, Kenan Bektas","Board games often involve strategic decision making and procedural planning tasks. Such tasks require learners to make decisions based on dynamically evolving game state and changing information that is situated in a physical environment. Recommender systems can filter available information and provide learners with personalized and actionable suggestions that simplify their decision making while playing board games. Such recommendations can further be spatially aligned with relevant physical elements through Mixed Reality (MR). We present an MR system called GLAMRec for an engine-building strategy board game. GLAMRec provides personalized, transparent recommendations by integrating user data, real-time game state tracking, and ontology-based reasoning during a complex board game, which we use as a proxy environment for procedural learning tasks. We interviewed six board game designers to improve the GLAMRec and conducted a within-subjects design user study (N=32) to investigate how personalized explanations affect explanation satisfaction, user experience, and trust. We found that personalized recommendations significantly improve explanation satisfaction and hedonic user experience without affecting trust ratings, recommendation compliance, and game performance. These findings suggest that personalization primarily shaped perception of enjoyment rather than measurable learning outcomes or trust."
