conference,year,session name,paper title,DOI,author list,abstract
IEEE VR,2024,Session: Tracking and Motion Capture (MO1G),Swift-Eye: Towards Anti-blink Pupil Tracking for Precise and Robust High-Frequency Near-Eye Movement Analysis with Event Cameras,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Swift-Eye%3A+Towards+Anti-blink+Pupil+Tracking+for+Precise+and+Robust+High-Frequency+Near-Eye+Movement+Analysis+with+Event+Cameras,"Tongyu Zhang, Yiran Shen, Guangrong Zhao, Lin Wang, Xiaoming Chen, Lu Bai, Yuanfeng Zhou","In this paper, we propose Swift-Eye, an offline precise and robust pupil estimation and tracking framework to support high-frequency near-eye movement analysis, especially when the pupil region is partially occluded. Swift-Eye is built upon the emerging event cameras to capture the high-speed movement of eyes in high temporal resolution. Then, a series of bespoke components are designed to generate high-quality near-eye movement video at a high frame rate over kilohertz and deal with the occlusion over the pupil caused by involuntary eye blinks. According to our extensive evaluations on EV-Eye, a large-scale public dataset for eye tracking using event cameras, Swift-Eye shows high robustness against significant occlusion."
IEEE VR,2024,Session: Tracking and Motion Capture (MO1G),GBOT: Graph-Based 3D Object Tracking for Augmented Reality-Assisted Assembly Guidance,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=GBOT%3A+Graph-Based+3D+Object+Tracking+for+Augmented+Reality-Assisted+Assembly+Guidance,"Shiyu Li, Hannah Schieber, Niklas Corell, Bernhard Egger, Julian Kreimeier, Daniel Roth","Guidance for assemblable parts is a promising field for the use of augmented reality. Augmented reality assembly guidance requires 6D object poses of target objects in real-time. To address this problem, we present Graph-based Object Tracking (GBOT), a novel graph-based single-view RGB-D tracking approach. The real-time markerless multi-object tracking is initialized via 6D pose estimation and updates the graph-based assembly poses. By utilizing relative poses of the individual assembly parts, we update the multi-state assembly graph. Quantitative experiments in synthetic data and further qualitative study in real test data show that GBOT can outperform existing work towards enabling context-aware augmented reality assembly guidance."
IEEE VR,2024,Session: Tracking and Motion Capture (MO1G),"BOXRR-23: 4.7 Million Motion Capture Recordings from 105,000 XR Users",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=BOXRR-23%3A+4.7+Million+Motion+Capture+Recordings+from+105%2C000+XR+Users,"Vivek C Nair, Wenbo Guo, Rui Wang, James F. O'Brien, Louis Rosenberg, Dawn Song","Extended reality (XR) devices such as the Meta Quest and Apple Vision Pro have seen a recent surge in attention, with motion tracking ""telemetry"" data lying at the core of nearly all XR and metaverse experiences. Researchers are just beginning to understand the implications of this data for security, privacy, usability, and more, but currently lack large-scale human motion datasets to study. The BOXRR-23 dataset contains 4,717,215 motion capture recordings, voluntarily submitted by 105,852 XR device users from over 50 countries. BOXRR-23 is over 200 times larger than the largest existing motion capture research dataset and uses a new, highly efficient and purpose-built XR Open Recording (XROR) file format."
IEEE VR,2024,Session: Tracking and Motion Capture (MO1G),Pose-Aware Attention Network for Flexible Motion Retargeting by Body Part,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Pose-Aware+Attention+Network+for+Flexible+Motion+Retargeting+by+Body+Part,"Lei Hu, Zihao Zhang, Chongyang Zhong, Boyuan Jiang, Shihong Xia","Motion retargeting is a fundamental problem in computer graphics and computer vision. Existing approaches usually have many strict requirements, such as the source-target skeletons needing to have the same number of joints or share the same topology. To tackle this problem, we note that skeletons with different structure may have some common body parts despite the differences in joint numbers. Following this observation, we propose a novel, flexible motion retargeting framework. The key idea of our method is to regard the body part as the basic retargeting unit rather than directly retargeting the whole body motion. To enhance the spatial modeling capability of the motion encoder, we introduce a pose-aware attention network (PAN) in the motion encoding phase. The PAN is pose-aware since it can dynamically predict the joint weights within each body part based on the input pose, and then construct a shared latent space for each body part by feature pooling. Extensive experiments show that our approach can generate better motion retargeting results both qualitatively and quantitatively than state-of-the-art methods. Moreover, we also show that our framework can generate reasonable results even for a more challenging retargeting scenario, like retargeting between bipedal and quadrupedal skeletons because of the body part retargeting strategy and PAN. Our code is publicly available."
IEEE VR,2024,Session: Social Applications (MO1H),Designing and Evaluating a VR Lobby for a socially enriching remote Opera watching experience,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Designing+and+Evaluating+a+VR+Lobby+for+a+socially+enriching+remote+Opera+watching+experience,"Sueyoon Lee, Irene Viola, Silvia Rossi, Zhirui Guo, Ignacio Reimat, Kinga Ławicka, Alina Striner, Pablo Cesar","In this paper, we design, implement, and evaluate a VR theatre lobby as a dynamic space for remote users to communicate and interact following their virtual opera experiences. We conducted an initial test with paired experts (N=10) in a highly realistic representation using our VR lobby prototype, developed based on the theoretical design concept. After refining the prototype for better usability and user experience, we ran a between-subject controlled study (N=40) to compare individuals' and pairs' user experience. The results of our mixed-methods analysis reveal the strength of our social VR lobby in connecting with other users, consuming the opera more deeply, and exploring new possibilities beyond what is common in real life."
IEEE VR,2024,Session: Social Applications (MO1H),"Springboard, Roadblock, or ""Crutch""?: How Transgender Users Leverage Voice Changers for Gender Presentation in Social Virtual Reality",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Springboard%2C+Roadblock%2C+or+%22Crutch%22%3F%3A+How+Transgender+Users+Leverage+Voice+Changers+for+Gender+Presentation+in+Social+Virtual+Reality,"Kassie C Povinelli, Yuhang Zhao","Social virtual reality (VR) serves as a vital platform for TGNC individuals to explore their identities through avatars and build online communities. However, it presents a challenge: the disconnect between avatar embodiment and voice representation, often leading to misgendering and harassment. We interviewed 13 transgender and gender-nonconforming users, finding that using a voice changer not only reduces voice-related harassment, but also allows them to experience gender euphoria through their modified voice, motivating them to pursue voice training and medication to achieve desired voices. Furthermore, we identified technical barriers and possible improvements to voice changer technology for TGNC individuals."
IEEE VR,2024,Session: Social Applications (MO1H),Enhancing Positive Emotions through Interactive Virtual Reality Experiences: An EEG-Based Investigation,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Enhancing+Positive+Emotions+through+Interactive+Virtual+Reality+Experiences%3A+An+EEG-Based+Investigation,"Shiwei Cheng, Sheng Danyi, Yuefan Gao, Zhanxun DONG, Ting Han","Virtual reality (VR) holds potential to promote feelings of well-being by evoking positive emotions. Our study aimed to investigate the types of interaction behaviors in VR that effectively enhance positive emotions. An exploratory study (N = 22) was conducted on a virtual museum to study the impact of varying user autonomy and interaction behaviors on emotions. An individual emotion model based on electroencephalogram (EEG) was employed to predict the promotion of positive emotions. The results indicated that incorporating creative interaction functions increased positive emotions, with the extent of increase closely linked to the degree of user autonomy."
IEEE VR,2024,Session: Social Applications (MO1H),Self-Guided DMT: Exploring a Novel Paradigm of Dance Movement Therapy in Mixed Reality for Children with ASD,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Self-Guided+DMT%3A+Exploring+a+Novel+Paradigm+of+Dance+Movement+Therapy+in+Mixed+Reality+for+Children+with+ASD,"Weiying Liu, Yanyan Zhang, Baiqiao Zhang, Qian qian Xiong, Hong Zhao, Sheng Li, Juan Liu, Yulong Bian","Children with Autism Spectrum Disorder (ASD) often face motor challenges. Traditional Dance Movement Therapy (DMT) lacks effectiveness. We propose Mixed Reality DMT with interactive virtual agents, offering immersive content and feedback. Our novel self-guided training paradigm creates virtual twin agents that resemble children with ASD using a single photo, aiding them during training. In an experiment involving 24 children with ASD, self-guidance through the twin agent significantly improved training performance, particularly in movement quality and target-related responses. This approach has clinical potential in medical treatment and rehabilitation for children with ASD."
IEEE VR,2024,"Session: Embodiment, Avatars and Presence (MO1J)",Measuring Embodiment: Movement Complexity and the Impact of Personal Characteristics,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Measuring+Embodiment%3A+Movement+Complexity+and+the+Impact+of+Personal+Characteristics,"Tabitha C. Peck, Jessica J. Good","A user's personal experiences and characteristics may impact the strength of an embodiment illusion and affect resulting behavioral changes in unknown ways. This paper presents a novel re-analysis of two fully-immersive embodiment user-studies (n=189 and n=99) using structural equation modeling, to test the effects of personal characteristics on subjective embodiment. Results demonstrate that individual characteristics (gender, participation in science, technology, engineering or math - Experiment 1, age, video gaming experience - Experiment 2) predicted differing self-reported experiences of embodiment Results also indicate that increased self-reported embodiment predicts environmental response, in this case faster and more accurate responses within the virtual environment. Importantly, head-tracking data is shown to be an effective objective measure for predicting embodiment, without requiring researchers to utilize additional equipment."
IEEE VR,2024,"Session: Embodiment, Avatars and Presence (MO1J)",Embodying a self-avatar with a larger leg: its impacts on motor control and dynamic stability,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Embodying+a+self-avatar+with+a+larger+leg%3A+its+impacts+on+motor+control+and+dynamic+stability,"Valentin Vallageas, Rachid Aissaoui, Iris Willaert, David Labbe PhD","Several studies demonstrate that virtual reality users can embody avatars with altered morphologies, adapting their mental body map (body schema) crucial for planning movements. This study explores how embodying avatars with enlarged legs affects motor planning. Thirty participants embodied avatars with different leg sizes, combined with two different embodiment levels. Gait initiation tasks showed no significant biomechanical changes. Asynchronous stimuli reduced embodiment without affecting stability measures. Deforming avatars might subtly influence motor execution in rehabilitation. The study suggests the adaptability of the body schema to morphological modifications, with implications for individuals with impaired mobility."
