conference,year,session name,paper title,DOI,author list,abstract
IEEE VR,2025,"Session 1: Avatar Representation, Embodiment, and Social Perception",GaussianHand: Real-Time 3D Gaussian Rendering for Hand Avatar Animation,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=GaussianHand%3A+Real-Time+3D+Gaussian+Rendering+for+Hand+Avatar+Animation,"Lizhi Zhao, Xuequan Lu, Runze Fan, Sio Kei Im, Lili Wang","Rendering animatable and realistic hand avatars is pivotal for enhancing user experiences in human-centered AR/VR applications. While recent initiatives have utilized neural radiance fields to forge hand avatars with lifelike appearances, these methods are often hindered by high computational demands and the necessity for extensive training views. In this paper, we introduce GaussianHand, the first Gaussian-based real-time 3D rendering approach that enables efficient free-view and free-pose hand avatar animation from sparse view images. Our approach encompasses two key innovations. We first propose Hand Gaussian Blend Shapes that effectively models hand surface geometry while ensuring consistent appearance across various poses. Secondly, we introduce the Neural Residual Skeleton, equipped with Residual Skinning Weights, designed to rectify inaccuracies involved in Linear Blend Skinning deformations due to geometry offsets. Experiments demonstrate that our method not only achieves far more realistic rendering quality with as few as 5 or 20 training views, compared to the 139 views required by existing methods, but also excels in efficiency, achieving up to 125 frames per second for real-time rendering and remarkably surpassing recent methods."
IEEE VR,2025,"Session 1: Avatar Representation, Embodiment, and Social Perception",Effective VR Intervention to Reduce Implicit Bias towards People with Physical Disabilities: The Interplay between Experience Design and Individual Characteristics,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Effective+VR+Intervention+to+Reduce+Implicit+Bias+towards+People+with+Physical+Disabilities%3A+The+Interplay+between+Experience+Design+and+Individual+Characteristics,"Hyuckjin Jang, Jeongmi Lee","Studies on reducing bias against physical disabilities with VR have shown inconsistent results based on experience design and overlooked potential moderating effects of individual characteristics. This study examined how experience design components and individual characteristics (gender, preexisting bias) moderate VR's effect on bias towards physical disabilities. We designed a VR wheelchair experience manipulating situational context and avatar visualization. Participants' implicit and explicit bias levels were assessed before and after the VR experience. The findings underscore the importance of considering the interaction between experience design and individual characteristics in understanding VR's efficacy as an empathy-inducing tool."
IEEE VR,2025,"Session 1: Avatar Representation, Embodiment, and Social Perception",The Impact of Avatar Clothing on the Proteus Effect and Stereotype Threat,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=The+Impact+of+Avatar+Clothing+on+the+Proteus+Effect+and+Stereotype+Threat,"Pauline W Cha, Fangyi Li, Tabitha C. Peck","We investigate if avatar clothing-swaps induce a Proteus effect. Specifically, we investigate the impact of a woman avatar wearing business or science attire during a stereotype threatening situation. Participants in a successful woman business avatar experienced gender stereotype threat while participants in a successful woman science avatar were instead buffered from gender stereotype threat. Further, subjective embodiment was a significant predictor of response measures such that participants with higher subjective embodiment scores had better cognitive performance. This work demonstrates the potential of the Proteus effect to promote and support traditionally marginalized groups."
IEEE VR,2025,"Session 1: Avatar Representation, Embodiment, and Social Perception",Self-Similarity Beats Motor Control in Augmented Reality Body Weight Perception,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Self-Similarity+Beats+Motor+Control+in+Augmented+Reality+Body+Weight+Perception,"Marie Luisa Fiedler, Mario Botsch, Carolin Wienrich, Marc Erich Latoschik","Our work examines how self-similarity and motor control affect sense of embodiment, self-identification, and body weight perception in Augmented Reality (AR). In a 2x2 mixed design experiment, 60 participants interacted with synchronously or independently moving virtual humans, either with self-similar or generic appearance, across two AR sessions. Results show that self-similarity enhances sense of embodiment, self-identification, and weight estimation accuracy, while motor control effects were weaker than in similar VR studies. Participants' body weight, self-esteem, and body shape concerns also impacted estimates. These findings deepen understanding of AR body weight perception, highlighting real-world coherence as a key factor."
IEEE VR,2025,"Session 1: Avatar Representation, Embodiment, and Social Perception",Investigating the Impact of Video Pass-Through Embodiment on Presence and Performance in Virtual Reality,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Investigating+the+Impact+of+Video+Pass-Through+Embodiment+on+Presence+and+Performance+in+Virtual+Reality,"Kristoffer Waldow, Constantin Kleinbeck, Arnulph Fuhrmann, Daniel Roth","Creating a compelling sense of presence and embodiment can enhance the user experience in VR. Traditional approaches use personalized or video self-avatars but require external hardware and focus mainly on hand representations. This paper introduces video Pass-Through Embodiment (PTE), a method leveraging per-eye depth maps from Head-Mounted Displays to integrate users' real bodies into VR environments without additional hardware. In a study with 40 participants performing a sorting task, PTE enhanced presence and embodiment despite minor visual artifacts, with no negative impact on performance, cognitive load, or VR sickness. PTE therefore offers a practical alternative to avatar-based methods in VR."
IEEE VR,2025,"Session 1: Perception, Interaction, and Learning in XR",On the Benefits of Sensorimotor Regularities as Design Constraints for Superpower Interactions in Mixed Reality,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=On+the+Benefits+of+Sensorimotor+Regularities+as+Design+Constraints+for+Superpower+Interactions+in+Mixed+Reality,"Jingyi Li, Per Ola Kristensson","Creating intuitive action-outcome mappings for augmented superpowers in Mixed Reality (MR) is a key challenge for designers. We explore sensorimotor regularities (SRs) as design constraints for superpower interactions by comparing three temporal manipulation methods: mid-air button control, SRs-incongruent gestures, and SRs-congruent gestures. Results show that SRs-congruent gestures significantly enhance task performance, reduce workload, and increase agency and presence compared to the other two methods, while also enabling faster learning. No significant differences were found between SRs-incongruent and button-based methods. These findings highlight the potential of SRs in designing intuitive superpower interactions for MR systems."
IEEE VR,2025,"Session 1: Perception, Interaction, and Learning in XR",Perceptually-Guided Acoustic 'Foveation',https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Perceptually-Guided+Acoustic+%27Foveation%27,"Xi Peng, Kenneth Chen, Iran Roman, Juan Pablo Bello, Qi Sun, Praneeth Chakravarthula","Realistic spatial audio rendering improves immersion in virtual environments. However, the computational complexity of acoustic propagation increases linearly with the number of sources. Consequently, real-time accurate acoustic rendering becomes challenging in highly dynamic scenarios such as virtual and augmented reality (VR/AR)."
IEEE VR,2025,"Session 1: Perception, Interaction, and Learning in XR",The Impact of Navigation on Proxemics in an Immersive Virtual Environment with Conversational Agents,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=The+Impact+of+Navigation+on+Proxemics+in+an+Immersive+Virtual+Environment+with+Conversational+Agents,"Rose Connolly, Lauren Buck, Victor Zordan, Rachel McDonnell","The management of interpersonal space - the distance people maintain between each other - is crucial for user comfort in VR. This is particularly relevant in social VR where interactions are frequent. Teleportation is a widely used locomotion method in these environments yet its effect on proximity remains unexplored. To address this, we measured the interpersonal distance of 70 participants interacting with virtual agents, comparing teleportation to natural walking. Results showed that participants maintained closer proximity during teleportation, emphasising the need for further research on how locomotion influences spatial perception and social dynamics in VR."
IEEE VR,2025,"Session 1: Perception, Interaction, and Learning in XR",Implicit Learning of Professional Skills through Immersive Virtual Reality: a Media Comparison Study,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Implicit+Learning+of+Professional+Skills+through+Immersive+Virtual+Reality%3A+a+Media+Comparison+Study,"Pierre Bondesan, Audrenne CANAL, Sylvain Fleury, Andréa Boisadan, Simon Richir","This study compares Immersive Virtual Reality (IVR) and traditional slideshow lessons for teaching implicit knowledge in professional decision-making tasks in viticulture. In a 2x1 between-subject design, forty engineering students learned to assess vine vigor through implicit learning, followed by real-world evaluation. The findings suggest that while immersion does not directly improve decision-making accuracy, it enhances intrinsic motivation and influences how knowledge is transferred to real-world tasks."
IEEE VR,2025,"Session 1: Perception, Interaction, and Learning in XR",Misperception of the distance of virtual augmentations,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Misperception+of+the+distance+of+virtual+augmentations,"Domenic Au, Robert S. Allison, Iroshini Gunasekera, Laurie M Wilcox","Binocular disparity provides metric depth, while monocular cues like occlusion indicate depth order. In augmented reality (AR), conflicts arise when virtual objects fail to be occluded by real-world surfaces, disrupting depth perception. Using distance-matching paradigms, we investigated these conflicts within (0.35-0.5 m) and beyond reach space (0.9-1.5 m). Observers matched a virtual letter's distance using a probe or manual reach. Results showed consistent underestimation of the letter's distance when rendered beyond a surface, with errors increasing with distance. These biases persisted despite proprioceptive input, underscoring occlusion conflicts' impact on depth perception and the need for careful AR design."
