conference,year,session name,paper title,DOI,author list,abstract
IEEE VR,2021,Session: Augmented Reality,3D Curve Creation on and around Physical Objects with Mobile AR,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=3D+Curve+Creation+on+and+around+Physical+Objects+with+Mobile+AR,"Hui Ye, Kin Chung Kwan, Hongbo Fu","When creating 3D curves on and around physical objects with mobile AR, tracking might be less robust or lost due to camera occlusion or textureless scenes. This motivates us to study how to achieve natural interaction with minimum tracking errors in this case. We contribute an elicitation study on input point and phone grip, and a quantitative study on tracking errors. We present a system for direct 3D drawing with a mobile phone as a 3D pen, interactive correction of 3D curves with tracking errors in mobile AR, and explore two applications of in-situ 3D drawing and direct 3D measurement."
IEEE VR,2021,Session: Augmented Reality,Augmented Reality for Maritime Navigation Assistance - Egocentric Depth Perception in Large Distance Outdoor Environments,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Augmented+Reality+for+Maritime+Navigation+Assistance+-+Egocentric+Depth+Perception+in+Large+Distance+Outdoor+Environments,"Julia Hertel, Frank Steinicke","Augmented reality (AR) provides potential for navigation assistance interfaces in maritime contexts by displaying information directly into the user's field of view. Therefore, it is crucial to understand how egocentric distances of displayed objects are perceived and how different design attributes influence depth estimation. While previous work mainly focused on depth perception in short-distance indoor environments, this paper presents a perceptual matching task in a wide outdoor environment. Our results suggest a distance overestimation across all tested distances and significant influences of (i) shape, (ii) coloration, and (iii) relation to floor. Additionally, we explored potential design implications in a pilot study on a ship."
IEEE VR,2021,Session: Augmented Reality,Do we still need physical monitors? An evaluation of the usability of AR virtual monitors for productivity work,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Do+we+still+need+physical+monitors%3F+An+evaluation+of+the+usability+of+AR+virtual+monitors+for+productivity+work,"Leonardo Pavanatto, Chris North, Doug Bowman, Richard Stoakley, Carmen Badea","Physical monitors require space, lack flexibility, and can become expensive and less portable in large setups. Virtual monitors can be subject to technological limitations such as lower resolution and field of view. We investigate the impacts of using virtual monitors on a current state-of-the-art augmented reality headset for conducting productivity work. We conducted a user study that compared physical monitors, virtual monitors, and a hybrid combination of both in terms of performance, accuracy, comfort, focus, preference, and confidence. Results show that virtual monitors are a feasible approach, albeit with inferior usability and performance, while hybrid was a middle ground."
IEEE VR,2021,Session: Augmented Reality,DreamStore: A Data Platform for Enabling Shared Augmented Reality,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=DreamStore%3A+A+Data+Platform+for+Enabling+Shared+Augmented+Reality,"Meraj Ahmed Khan, Arnab Nandi","The natural mode of AR user-interaction triggers backend queries implicitly based on the field in the user's view at any instant, generating queries in excess of the device frame rate. Ensuring a smooth user experience in such a scenario requires a systemic solution exploiting the unique characteristics of the AR workloads. We propose DreamStore - a data platform that considers AR queries as first-class queries, and view-maintenance and large-scale analytics infrastructure around this design choice. Through performance experiments on large-scale and query-intensive AR workloads on DreamStore, we show the advantages and the capabilities of our proposed platform."
IEEE VR,2021,Session: Augmented Reality,Evaluating the Potential of Glanceable AR Interfaces for Authentic Everyday Uses,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Evaluating+the+Potential+of+Glanceable+AR+Interfaces+for+Authentic+Everyday+Uses,"Feiyu Lu, Doug Bowman","In the near future, augmented reality (AR) glasses are envisioned to become the next-generation personal computing platform. However, it remains unclear how we could enable unobtrusive and easy information access in AR without distracting users, while being acceptable to use at the same time. To address this question, we implemented two prototypes based on the Glanceable AR paradigm. We conducted two separate studies to evaluate our designs. We found that users appreciated the Glanceable AR approach in authentic everyday use cases. They found it less distracting or intrusive than existing devices, and would like to use the interface on a daily basis if the form factor of the AR headset was more like eyeglasses."
IEEE VR,2021,Session: Augmented Reality,Story CreatAR: a Toolkit for Spatially-Adaptive Augmented Reality Storytelling,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Story+CreatAR%3A+a+Toolkit+for+Spatially-Adaptive+Augmented+Reality+Storytelling,"Abbey Singh, Ramanpreet Kaur, Peter Haltner, Matthew Peachey, Mar Gonzalez-Franco, Joseph Malloch, Derek Reilly","Headworn Augmented Reality (AR) and Virtual Reality (VR) displays are an exciting new medium for locative storytelling. Authors face challenges planning and testing the placement of story elements when the story is experienced in multiple locations or the environment is large or complex. We present Story CreatAR, the first locative AR/VR authoring tool that integrates spatial analysis techniques. Story CreatAR is designed to help authors think about, experiment with, and reflect upon spatial relationships between story elements, and between their story and the environment. We motivate and validate our design through developing different locative AR/VR stories with several authors."
IEEE VR,2021,Session: VR/AR Displays,Visual Complexity and Scene Recognition: How Low Can You Go?,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Visual+Complexity+and+Scene+Recognition%3A+How+Low+Can+You+Go%3F,"Joshua Peter Handali, Johannes Schneider, Michael Gau, Valentin Holzwarth, Jan vom Brocke","Visual realism in Virtual Environments (VEs) increases immersion but also costs. As the extent of visual realism relates to the level of visual complexity, we investigate on the impact of visual complexity on users’ spatial orientation in a VE based on a real-world place. Visual complexity is varied by adding cartographic visual elements, namely a map overlay and 3D buildings, resulting in a 2x2 factorial within-participants study. Participants were asked to map their VE location to a real-world location. Our findings show that the addition of either visual element improved spatial orientation, while their combination only adds a slight improvement."
IEEE VR,2021,Session: VR/AR Displays,Beaming Displays,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Beaming+Displays,"Yuta Itoh, Takumi Kaminokado, Kaan Akşit","We present the beaming displays, a new type of near-eye display system that uses a projector and an all passive wearable headset. We modify an off-the-shelf projector with additional lenses. We install such a projector to the environment to beam images from a distance to a passive wearable headset. The beaming projection system tracks the current position of a wearable headset to project distortion-free images with correct perspectives. In our system, a wearable headset guides the beamed images to a user's retina, which are then perceived as an augmented scene within a user's field of view."
IEEE VR,2021,Session: VR/AR Displays,"DeProCams: Simultaneous Relighting, Compensation and Shape Reconstruction for Projector-Camera Systems",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=DeProCams%3A+Simultaneous+Relighting%2C+Compensation+and+Shape+Reconstruction+for+Projector-Camera+Systems,"Bingyao Huang, Haibin Ling","Image-based relighting, projector compensation and depth/normal reconstruction are three important tasks of projector-camera systems (ProCams) and spatial augmented reality (SAR). Although they share a similar pipeline of finding projector-camera image mappings, in tradition, they are addressed independently, sometimes with different prerequisites, devices and sampling images. We propose a novel end-to-end trainable model named DeProCams to explicitly learn the photometric and geometric mappings of ProCams, and once trained, DeProCams can be applied simultaneously to the three tasks. By solving the three tasks in a unified model, DeProCams waives the need for additional optical devices, radiometric calibrations, and structured light."
IEEE VR,2021,Session: VR/AR Displays,"Lenslet VR: Thin, Flat and Wide-FOV Virtual Reality Display Using Fresnel Lens and Lenslet Array",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Lenslet+VR%3A+Thin%2C+Flat+and+Wide-FOV+Virtual+Reality+Display+Using+Fresnel+Lens+and+Lenslet+Array,"Kiseung Bang, Youngjin Jo, Minseok Chae, Byoungho Lee","We propose a new thin and flat VR display design using a Fresnel lenslet array, a Fresnel lens, and a polarization-based optical folding technique. The proposed optical system has a wide FOV of 102˚×102˚, a wide eye-box of 8.8 mm, and an ergonomic eye-relief of 20 mm while having a few millimeters of system thickness. We demonstrate an 8.8-mm-thick VR glasses prototype and experimentally verify that the proposed VR display system has the expected performance while having a glasses-like form factor."
IEEE VR,2021,Session: VR/AR Displays,Who Are Virtual Reality Headset Owners? A Survey and Comparison of Headset Owners and Non-Owners,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Who+Are+Virtual+Reality+Headset+Owners%3F+A+Survey+and+Comparison+of+Headset+Owners+and+Non-Owners,"Jonathan Kelly, Lucia Cherep, Alex Lim, Taylor A Doty, Stephen B. Gilbert","Researchers can readily recruit head-mounted display (HMD) owners to participate remotely. However, HMD owners recruited online may differ from the university community that typically participates in virtual reality research. HMD owners (n=220) and non-owners (n=282) were surveyed through two online work sites and an undergraduate pool. Participants completed demographics and measures of HMD use, video game use, spatial ability, and motion sickness. In the context of the populations sampled, the results provide a characterization of HMD owners, a snapshot of commonly owned HMDs, a comparison between owners and non-owners, and a comparison among online workers and undergraduates."
IEEE VR,2021,Session: Emotion and Cognition,Self-Illusion: A Study on Cognition of Role-Playing in Immersive Virtual Environments,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Self-Illusion%3A+A+Study+on+Cognition+of+Role-Playing+in+Immersive+Virtual+Environments,"Sheng Li, Xiang Gu, Kangrui Yi, Yanlin Yang, Guoping Wang, Dinesh Manocha","We present the design and results of an experiment investigating the occurrence of self-illusion and its contribution to realistic behavior consistent with a virtual role in virtual environments. Self-illusion is a generalized illusion about one's self in cognition, eliciting a sense of being associated with a role in a virtual world, despite sure knowledge that this role is not the actual self. We validate and measure self-illusion through an experiment where each participant occupies a non-human perspective and plays a non-human role. There is some evidence that self-illusion can be considered a novel psychological component of presence."
IEEE VR,2021,Session: Emotion and Cognition,VR-based Student Priming to Reduce Anxiety and Increase Cognitive Bandwidth,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=VR-based+Student+Priming+to+Reduce+Anxiety+and+Increase+Cognitive+Bandwidth,"Daniel Hawes, Ali Arya","Recent research indicates that many post-secondary students feel overwhelming anxiety, negatively impacting academic performance and overall well-being. In this paper, based on multidisciplinary literature analysis and innovative ideas in cognitive science, learning models, and emerging technologies, we introduce a theoretical framework that shows how and when priming activities can be introduced in the learning cycles to reduce anxiety and improve cognitive availability. This framework proposes a Virtual Reality based priming approach that uses games and meditative interventions. Our results show this approach's potential compared to no-priming scenarios for reducing anxiety and significance for VR gaming in improving cognitive bandwidth."
IEEE VR,2021,Session: Emotion and Cognition,Exploiting Object-of-Interest Information to Understand Attention in VR Classrooms,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Exploiting+Object-of-Interest+Information+to+Understand+Attention+in+VR+Classrooms,"Efe Bozkir, Philipp Stark, Hong Gao, Lisa Hasenbein, Jens-Uwe Hahn, Enkelejda Kasneci, Richard Göllner","Developments in computer graphics and hardware technology enable easy access to VR headsets. The immersion provided by VR may soon help to create realistic digital alternatives to conventional classrooms. Until now, however, students' behaviors in immersive virtual environments have not been investigated in depth. This work studies students' attention by exploiting object-of-interests using eye tracking in different classroom manipulations, particularly sitting positions of students, visualization styles of avatars, and various hand-raising behaviors of peer-learners. We show that such manipulations affect students' attention. Our research may contribute to understanding how visual attention relates to social dynamics in virtual classrooms."
