conference,year,session name,paper title,DOI,author list,abstract
IEEE VR,2022,Session: 3DUI,EHTask: Recognizing User Tasks from Eye and Head Movements in Immersive Virtual Reality,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=EHTask%3A+Recognizing+User+Tasks+from+Eye+and+Head+Movements+in+Immersive+Virtual+Reality,"Zhiming Hu, Andreas Bulling, Sheng Li, Guoping Wang","Understanding human visual attention in immersive virtual reality (VR) is crucial for many important applications, including gaze prediction, gaze guidance, and gaze-contingent rendering. However, previous works on visual attention analysis typically only explored one specific VR task and paid less attention to the differences between different tasks. Moreover, existing task recognition methods typically focused on 2D viewing conditions and only explored the effectiveness of human eye movements. We first collect eye and head movements of 30 participants performing four tasks, i.e. Free viewing, Visual search, Saliency, and Track, in 15 360-degree VR videos. Using this dataset, we analyze the patterns of human eye and head movements and reveal significant differences across different tasks in terms of fixation duration, saccade amplitude, head rotation velocity, and eye-head coordination. We then propose EHTask -- a novel learning-based method that employs eye and head movements to recognize user tasks in VR. We show that our method significantly outperforms the state-of-the-art methods derived from 2D viewing conditions both on our dataset (accuracy of 84.4% vs. 62.8%) and on a real-world dataset (61.9% vs. 44.1%). As such, our work provides meaningful insights into human visual attention under different VR tasks and guides future work on recognizing user tasks in VR."
IEEE VR,2022,Session: Locomotion (Americas),Research Trends in Virtual Reality Locomotion Techniques,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Research+Trends+in+Virtual+Reality+Locomotion+Techniques,"Esteban Segarra Martinez, Annie S. Wu, Ryan P. McMahan","Virtual reality (VR) researchers have had a long-standing interest in studying locomotion for developing new techniques, improving upon prior ones, and analyzing their effects on users. In this paper, we present a systematic review of locomotion techniques based on a well-established taxonomy, and we use k-means clustering to identify to what extent locomotion techniques have been explored. Our results indicate that selection-based, walking-based, and steering-based locomotion techniques have been moderately to highly explored while manipulation-based and automated locomotion techniques have been less explored. We also present results on what types of metrics have been used to evaluate locomotion techniques."
IEEE VR,2022,Session: Locomotion (Americas),ENI: Quantifying Environment Compatibility for Natural Walking in Virtual Reality,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=ENI%3A+Quantifying+Environment+Compatibility+for+Natural+Walking+in+Virtual+Reality,"Niall L. Williams, Aniket Bera, Dinesh Manocha",We present a metric to measure the similarity between physical and virtual environments for natural walking in VR. We use geometric techniques based on visibility polygons to compute the Environment Navigation Incompatibility (ENI) metric to measure the complexity VR locomotion. ENI is useful for highlighting regions of incompatibility and guiding the design of the virtual environments to make them more compatible. User studies and simulations show that ENI identifies environments where users are able to walk larger distances before colliding with objects. ENI is the first general metric that automatically quantifies environment navigability for VR locomotion. Project page: gamma.umd.edu/eni
IEEE VR,2022,Session: Locomotion (Americas),Evaluating the Impact of Limited Physical Space on the Navigation Performance of Two Locomotion Methods in Immersive Virtual Environments,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Evaluating+the+Impact+of+Limited+Physical+Space+on+the+Navigation+Performance+of+Two+Locomotion+Methods+in+Immersive+Virtual+Environments,"Richard Paris, Lauren Buck, Timothy P. McNamara, Bobby Bodenheimer","Consumer level virtual experiences almost always occur when physical space is limited, either by the constraints of an indoor space or of a tracked area. Some locomotion interfaces support movement in the real world, while some do not. This paper examines how the amount of physical space used in the real world by one popular locomotion interface, resetting, compared to a locomotion interface that requires minimal physical space, walking in place. We compared them by determining how well people could acquire survey knowledge using them. While there are trade-offs between the methods, walking in place is preferable in small spaces."
IEEE VR,2022,Session: Locomotion (Americas),Remote research on locomotion interfaces for virtual reality: Replication of lab-based research on the teleporting interface,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Remote+research+on+locomotion+interfaces+for+virtual+reality%3A+Replication+of+lab-based+research+on+the+teleporting+interface,"Jonathan Kelly, Melynda Hoover, Taylor A Doty, Alex Renner, Moriah Zimmerman, Kimberly Knuth, Lucia Cherep, Stephen B. Gilbert","Researchers can now recruit virtual reality (VR) equipment owners to participate remotely. Yet, there are many differences between lab and home environments, as well as differences between participant samples recruited for lab and remote studies. This project replicates a lab-based experiment on VR locomotion interfaces using a remote sample. Participants completed a triangle-completion task (travel two path legs, then point to the path origin) in a remote, unsupervised setting. Locomotion was accomplished using two versions of the teleporting interface varying in available rotational self-motion cues. Remote results largely mirrored lab results, with better performance when rotational cues were available."
IEEE VR,2022,Session: Locomotion (Americas),Adaptive Redirection: A Context-Aware Redirected Walking Meta-Strategy,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Adaptive+Redirection%3A+A+Context-Aware+Redirected+Walking+Meta-Strategy,"Mahdi Azmandian, Rhys Yahata, Timofey Grechkin, Evan Suma Rosenberg","This work establishes the theoretical foundations for adaptive redirection, a meta-strategy that switches between a suite of redirected walking strategies with a priori knowledge of their performance under the various circumstances. We also introduce a novel static planning strategy that optimizes gain parameters for a predetermined virtual path and conduct a simulation-based experiment that demonstrates how adaptation rules can be determined empirically using machine learning. Adaptive redirection provides a foundation for making redirected walking work in practice and can be extended to improve performance in the future as new techniques are integrated into the framework."
IEEE VR,2022,Session: Locomotion (Americas),Validating Simulation-Based Evaluation of Redirected Walking Systems,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Validating+Simulation-Based+Evaluation+of+Redirected+Walking+Systems,"Mahdi Azmandian, Rhys Yahata, Timofey Grechkin, Jerald Thomas, Evan Suma Rosenberg","We present an experiment comparing redirected walking simulation and live user data to understand interaction between locomotion behavior and redirection gains at a micro-level (across small path segments) and macro-level (across an entire experience). The results identify specific properties of locomotion behavior that influence the application of redirected walking. Overall, we found that the simulation provided a conservative estimate of the average performance with real users and observed that performance trends when comparing two redirected walking algorithms were preserved. In general, these results indicate that simulation is an empirically valid evaluation methodology for redirected walking algorithms."
IEEE VR,2022,Session: Immersive Visualization and Virtual Production,The Virtual Production Studio Concept - An Emerging Game Changer in filmmaking,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=The+Virtual+Production+Studio+Concept+-+An+Emerging+Game+Changer+in+filmmaking,"Manolya Kavakli, Cinzia Cremona","Virtual Production (VP) integrates virtual and augmented reality technologies with CGI and VFX using a game engine to enable on set production crews to capture and unwrap scenes in real time. In this sense, it is a game changer for the traditional film industry. This paper analyses the VP studio and the use of LED as the pivotal element of this process from a technical and conceptual perspective. As the interest in the field is growing rapidly, we endeavour to evaluate the developments to date in Australia to build a snapshot of emerging VP practices and research supported by two case studies."
IEEE VR,2022,Session: Immersive Visualization and Virtual Production,Exploring the Design Space for Immersive Embodiment in Dance,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Exploring+the+Design+Space+for+Immersive+Embodiment+in+Dance,"Danielle Lottridge, Becca Weber, Eva-Rae McLean, Hazel Williams, Joanna Cook, Huidong Bai","How can virtual reality (VR) support people in more deeply inhabiting their own bodies? Through action research, we explored the design space for how VR can support feeling embodied and generating movement within a dance context. We observed and reflected on participants' experiences with games intended to stimulate physical movement, single player and multiplayer 3D painting, 360 live video, and custom real-time audio and visual feedback based on motion capture. We present a design space that encapsulates our insights, with axes for control, collaboration, auditory and visual feedback. We discuss implications for the support of immersive embodiment in dance."
IEEE VR,2022,Session: Immersive Visualization and Virtual Production,Mixed Reality Co-Design for Indigenous Culture Preservation & Continuation,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Mixed+Reality+Co-Design+for+Indigenous+Culture+Preservation+%26+Continuation,"Noel Park, Holger Regenbrecht, Stuart Duncan, Steven Mills, Robert W. Lindeman, Nadia Pantidi, Hemi Whaanga","Decades of Māori urbanisation, colonisation and globalisation have dispersed marae communities away from their tribal home all around NZ and overseas. This has left many feeling disconnected from learning their cultural identity. Māori have sought digital solutions to mitigate this problem by finding ways of preserving and continuing their culture using immersive technologies. We achieve this by developing an application which places Māori back into their ancestral meeting house and allow them to hear 3D stories about their people. For other researchers and developers involved in an indigenous project, we recommend using a participatory co-design process when developing MR applications for indigenous preservation and continuation."
IEEE VR,2022,Session: Immersive Visualization and Virtual Production,TimeTables: Embodied Exploration of Immersive Spatio-Temporal Data,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=TimeTables%3A+Embodied+Exploration+of+Immersive+Spatio-Temporal+Data,"Yidan Zhang, Barrett Ens, Kadek Ananta Satriadi, Arnaud Prouzeau, Sarah Goodwin","We propose TimeTables, a novel prototype system that aims to support data exploration, using embodiment with space-time cubes in virtual reality. TimeTables uses multiple space-time cubes on virtual tabletops, which users can manipulate by extracting time layers to create new tabletop views. The system presents information at different time scales by stretching layers to drill down in time. Users can also jump into tabletops to inspect data from an egocentric perspective. From our use case scenario of energy consumption displayed on a university campus, we believe the system has a high potential in supporting spatio-temporal data exploration and analysis."
IEEE VR,2022,Session: Immersive Visualization and Virtual Production,Virtual replicas of real places: Experimental investigations,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Virtual+replicas+of+real+places%3A+Experimental+investigations,"Richard Skarbez, Joe Gabbard, Doug A Bowman, Todd Ogle, Thomas Tucker","As virtual reality (VR) technology becomes cheaper, higher-quality, and more widely available, it is seeing increasing use in a variety of applications including cultural heritage, real estate, and architecture. A common goal for all these applications is a compelling virtual recreation of a real place. Despite this, there has been very little research into how users perceive and experience such replicated spaces. This paper reports the results from a series of three user studies investigating this topic. Results include that the scale of the room and large objects in it are most important for users to perceive the room as real and that non-physical behaviors such as objects floating in air are readily noticeable and have a negative effect even when the errors are small in scale."
IEEE VR,2022,Session: Immersive Visualization and Virtual Production,VirtualCube: An Immersive 3D Video Communication System,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=VirtualCube%3A+An+Immersive+3D+Video+Communication+System,"Yizhong Zhang, Jiaolong Yang, Zhen Liu, Ruicheng Wang, Guojun Chen, Xin Tong, Baining Guo","The VirtualCube system is a 3D video conference system that attempts to overcome some limitations of conventional technologies. The physical setup of VirtualCube is a standardized cubicle installed with off-the-shelf hardware including 3 TV displays and 6 RGBD cameras. With high-quality 3D capturing and rendering algorithm, the system teleports the remote participants into a virtual meeting room to achieve immersive in-person meeting experience with correct eye gaze. A set of VirtualCubes can be easily assembled into a V-Cube Assembly to model different video communication and shared workspace scenarios, as if all participants were in the same room."
IEEE VR,2022,Session: Multimodal VR,Evaluating Visual Cues for Future Airborne Surveillance Using Simulated Augmented Reality Displays,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Evaluating+Visual+Cues+for+Future+Airborne+Surveillance+Using+Simulated+Augmented+Reality+Displays,"Nicolas Barbotin, James Baumeister, Andrew Cunningham, Thierry Duval, Olivier Grisvard, Bruce H. Thomas","This work explores bringing Augmented Reality (AR) to airborne surveillance operators. In a Virtual Reality (VR) simulation replicating the environment of surveillance aircrafts, we introduce AR cues and an AR control panel to support search tasks and secondary tasks, respectively. Our high-fidelity simulation factors in the focal plane of the AR technology and simulates the user's eye accommodation reflex. Results collected from 24 participants show that the effectiveness of the cues depends on the modality of the secondary task and that, under certain situations, choosing the right focal plane for the AR display may improve search task performances."
