conference,year,session name,paper title,DOI,author list,abstract
CUI,2023,Paper session 1: Understanding the impact of CUIs on all users,“A Painless Way to Learn:” Designing an Interactive Storytelling Voice User Interface to Engage Older Adults in Informal Health Information Learning,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=%E2%80%9CA+Painless+Way+to+Learn%3A%E2%80%9D+Designing+an+Interactive+Storytelling+Voice+User+Interface+to+Engage+Older+Adults+in+Informal+Health+Information+Learning,"Smit Desai, Morgan Lundy, Jessie Chin","We present “Mystery Agent,” an interactive storytelling voice user interface (VUI) equipped with self-regulated learning strategies to deliver informal health-related learning to older adults through a murder mystery story. We conducted a mixed methods user study with 10 older adults to evaluate Mystery Agent, using usability and perception-based questionnaires, followed by a semi-structured interview and co-design activity to generate design insights and identify design priorities. We found older adults had a positive experience interacting with Mystery Agent and considered storytelling to be an appropriate and engaging way to learn health information. However, older adults identified credibility, compassion, and control as crucial factors influencing long-term use. To address this, we present design guidelines using Mystery Agent as an example to help practitioners and researchers devise novel solutions to address the informal health information learning needs of older adults."
CUI,2023,Paper session 4: Understanding societal implications of CUIs,Voice Assistant Use in Long-Term Care,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Voice+Assistant+Use+in+Long-Term+Care,"Bruna Oewel, Tawfiq Ammari, Robin N. Brewer","Research on voice assistants has primarily studied how people use them for informational needs, music requests, and to control electronic devices (e.g., IoT). Recent research suggests people such as older adults want to use them to address social and relational needs, but lacks empirical evidence to show how older adults are currently engaging in these behaviors. In this paper, we use a machine learning approach to analyze more than 600,000 queries that 456 older adults in assisted living communities made to Amazon Alexa devices over two years, classifying how older adults use voice assistants for social well-being purposes. We present empirical evidence showing how older adults engage in three primary relational behaviors with Alexa – 1) asking personal questions to ""get to know"" the assistant, 2) asking for advice and 3) engaging with the voice assistant to alleviate stress. We use these findings to discuss ethical implications of voice assistant use in long-term care settings."
CUI,2023,Paper session 3: Designing for inclusive conversations with CUIs,Towards Cross-Content Conversational Agents for Behaviour Change: Investigating Domain Independence and the Role of Lexical Features in Written Language Around Change,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Towards+Cross-Content+Conversational+Agents+for+Behaviour+Change%3A+Investigating+Domain+Independence+and+the+Role+of+Lexical+Features+in+Written+Language+Around+Change,"Selina Meyer, David Elsweiler","Valuable insights into an individual's current thoughts and stance regarding behaviour change can be obtained by analysing the language they use, which can be conceptualized using Motivational Interviewing concepts. Training conversational agents (CAs) to detect and employ these concepts could help them provide more personalized and effective assistance. This study investigates the similarity of written language around behaviour change spanning diverse conversational and social contexts and change objectives. Drawing on previous research that applied MI concepts to texts about health behaviour change, we evaluate the performance of existing classifiers on six newly constructed datasets from diverse contexts. To gain insights in determining factors when identifying change language, we explore the impact of lexical features on classification. The results suggest that patterns of change language remain stable across contexts and domains, leading us to conclude that peer-to-peer online data may be sufficient to train CAs to understand user utterances related to behaviour change."
CUI,2023,Paper session 3: Designing for inclusive conversations with CUIs,Exploring Humor as a Repair Strategy During Communication Breakdowns with Voice Assistants,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Exploring+Humor+as+a+Repair+Strategy+During+Communication+Breakdowns+with+Voice+Assistants,"Mikkel Clausen, Mikkel Peter Kyhn, Eleftherios Papachristos, Timothy Merritt","Voice assistants are becoming increasingly useful and support realistic conversations, yet communication breakdowns occur.  We investigate the use of humor as a repair strategy in an experiment where the voice assistant makes a mistake and then utilizes one of four humorous personalities to repair the breakdown in the conversation. We conducted a study with 30 participants, each of whom took the Humor Style Questionnaire (HSQ) to understand their predisposition to humor type, and then engaged in conversation with each of the four humorous personalities and one that was designed to give neutral repair responses (non-humorous). Aggressive personalities were rated as the funniest, yet there was no clear connection between the participant's humor style and their preferred voice assistant personality. While humorous responses were successful in repairing communication breakdowns, participants overall preferred non-humorous responses. This research provides insight into the role of humor in communication breakdown repair with voice assistants."
CUI,2023,Paper session 1: Understanding the impact of CUIs on all users,Developing a Conversational Interface for an ACT-based Online Program: Understanding Adolescents’ Expectations of Conversational Style,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Developing+a+Conversational+Interface+for+an+ACT-based+Online+Program%3A+Understanding+Adolescents%E2%80%99+Expectations+of+Conversational+Style,"Johanna Peltola, Kirsikka Kaipainen, Katariina Keinonen, Noona Kiuru, Markku Turunen","A preventative approach is crucial for adolescents’ mental well-being, as problems often arise at a young age. Acceptance and Commitment Therapy (ACT) is an evidence-based intervention approach used to enhance psychological flexibility, a central factor in adolescents’ mental well-being. Conversational interfaces are recently being experimented with in mental health promotion. Their conversational style plays a significant role in creating meaningful experiences to achieve positive intervention outcomes. In this study, our objective was to understand adolescents’ expectations of the conversational style of a text-based virtual coach being developed as part of an ACT-based online program to support intervention engagement. We evaluated eight conversation scripts by collecting qualitative and quantitative data through an online survey from over 200 adolescents. Our findings provide insights on preferred conversational interface features regarding conversational style, including language use, artificiality, and empathy in the domain of adolescent mental well-being."
CUI,2023,Paper session 2: Designing conversational interactions,Chatbots as Advisers: the Effects of Response Variability and Reply Suggestion Buttons,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Chatbots+as+Advisers%3A+the+Effects+of+Response+Variability+and+Reply+Suggestion+Buttons,"Federico Milana, Enrico Costanza, Joel E Fischer","As chatbots gain popularity across a variety of applications, from investment to health, they employ an increasing number of features that can influence the perception of the system. Since chatbots often provide advice or guidance, we ask: do these aspects affect the user’s decision to follow their advice? We focus on two chatbot features that can influence user perception: 1) response variability in answers and delays and 2) reply suggestion buttons. We report on a between-subject study where participants made investment decisions on a simulated social trading platform by interacting with a chatbot providing advice. Performance-based study incentives made the consequences of following the advice tangible to participants. We measured how often and to what extent participants followed the chatbot’s advice compared to an alternative source of information. Results indicate that both response variability and reply suggestion buttons significantly increased the inclination to follow the advice of the chatbot."
CUI,2023,Paper session 3: Designing for inclusive conversations with CUIs,What’s The Talk on VUI Guidelines? A Meta-Analysis of Guidelines for Voice User Interface Design,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=What%E2%80%99s+The+Talk+on+VUI+Guidelines%3F+A+Meta-Analysis+of+Guidelines+for+Voice+User+Interface+Design,"Christine Murad, Heloisa Candello, Cosmin Munteanu","Over the past decade, voice user interface (VUI) design has been steadily growing, along with a growing VUI presence in consumer markets. However, there is currently a lack of widely-established guidelines for VUI design. While many sets of VUI guidelines have been proposed, they tend to be developed independently of each other, leading to a lack of consensus on appropriate guidelines for VUI design. This can hinder the wider adoption of practical VUI guidelines. To address this gap, we performed a large-scale meta-analysis of 336 VUI design guidelines that have been proposed in academic literature. Using thematic analysis, we present a unified and synthesized set of 14 guidelines, representing the most universally proposed principles of VUI design as captured by the 336 VUI guidelines identified in academic literature. We hope that this synthesized set can address several of the challenges to the adoption of VUI guidelines in design practice."
CUI,2023,Paper session 5: Developing CUIs for special cases,RoboClean: Contextual Language Grounding for Human-Robot Interactions in Specialised Low-Resource Environments,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=RoboClean%3A+Contextual+Language+Grounding+for+Human-Robot+Interactions+in+Specialised+Low-Resource+Environments,"Carolina Fuentes, Martin Porcheron, Joel E Fischer","Building effective voice interfaces for the instruction of service robots in specialised environments is difficult due to the local knowledge of workers, such as specific terminology for objects and space, leading to limited data to train language models (known as ‘low-resource’ domains) and challenges in language grounding. We present a language grounding study in which we a) elicit spoken natural language of context experts in situ through a Wizard of Oz study and compile a dataset, b) qualitatively examine linguistic properties of the resulting instructions to reveal referential categories and parameters employed to construct instructions in context. We discuss how our language grounding protocol may be applied to bootstrap a language model in its targeted use context. Our work contributes a linguistic understanding of robot instructions that can be applied by designers and researchers to develop spoken language understanding for human-robot interactions in specialised, low-resource environments.human-robot interaction, speech, conversational interfaces, lan- guage grounding, HRI, spoken language understanding, SLU"
CUI,2023,Paper session 2: Designing conversational interactions,Human Speakers Help Machine Listeners To account For Visual Asymmetries in Dialogue,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Human+Speakers+Help+Machine+Listeners+To+account+For+Visual+Asymmetries+in+Dialogue,"Paola Raquel Peña, Philip R Doyle, Diego Garaialde, Yunhan Wu, Rachel McDonnell, Benjamin R. Cowan","Human-machine dialogue (HMD) research debates the degree to which language production in this context is egocentric or allocentric. That is, the degree to which a person might take a machine’s perspective into account. Our study aims to identify whether users produce allocentric or egocentric language within speech-based HMD when there is asymmetry in the information available to both partners. Through an adapted referential communication task, we manipulated the presence or absence of visual distractors and occlusions, similarly to previous referential tasks used in psycholinguistic research. Results show that people are sensitive to the presence of distractors and occlusions and tend to produce more informative expressions to help machine partners account for the visual asymmetries. We discuss the fndings on how allocentric production in HMD is explained by how the division of labour manifests in spoken HMD. The fndings further our understanding of the language production mechanisms in HMD."
CUI,2023,Paper session 2: Designing conversational interactions,Gist and Verbatim: Understanding Speech to Inform New Interfaces for Verbal Text Composition,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Gist+and+Verbatim%3A+Understanding+Speech+to+Inform+New+Interfaces+for+Verbal+Text+Composition,"Brinda Mehra, Kejia Shen, Hen Chen Yen, Can Liu","Recent interest in speech-to-text applications has found speech to be an efficient modality for text input. However, the spontaneity of speech makes direct transcriptions of spoken compositions effortful to edit. While previous works in Human-Computer Interaction (HCI) domain focus on improving error correction, there is a lack of theoretical ground around the understanding of speech as an input modality. This work explores literature from Cognitive Science to synthesize relevant theories and findings for the HCI audience to reference. Motivated by the literature indicating a fast memory decay of speech production and a preference towards gist abstraction in memory traces, an experiment was conducted to observe users' immediate recall of their verbal composition. Based on the theories and findings, we introduce new interaction concepts and workflows that adapt to the characteristics of speech input."
